"Year","Month","MeanLive","MeanRedd","Date"
1976,10,1425.10506329114,2.95388788426763,1976-10-01
1976,11,326.860655737705,2.04593670553169,1976-11-01
1976,12,56.9976489028213,2.21906693711968,1976-12-01
1977,1,1,2.32085561497326,1977-01-01
1977,8,7290.14285714286,2.5974025974026,1977-08-01
1977,9,15597.1,2.68609625668449,1977-09-01
1977,10,6793.6,2.80891265597148,1977-10-01
1977,11,293.861788617886,3.21459257206208,1977-11-01
1977,12,36.5407407407407,4.23528439153439,1977-12-01
1978,1,3.375,2.98828125,1978-01-01
1978,8,48.5925925925926,0.499131944444444,1978-08-01
1978,9,10037.4166666667,1.6597050330033,1978-09-01
1978,10,3986.11764705882,7.11706464764123,1978-10-01
1978,11,1902.25,10.4950495049505,1978-11-01
1978,12,220.546568627451,18.2178217821782,1978-12-01
1979,1,8,14.2936073059361,1979-01-01
1979,7,3.6,10.472602739726,1979-07-01
1979,8,7.13333333333333,10.1785388127854,1979-08-01
1979,9,830.592592592592,9.90317943514291,1979-09-01
1979,10,3292.66666666667,9.47729578893962,1979-10-01
1979,11,1493.64285714286,9.11301369863014,1979-11-01
1979,12,321.457142857143,8.74543378995434,1979-12-01
1980,1,853.75,8.39497716894977,1980-01-01
1980,7,1,8.13926940639269,1980-07-01
1980,8,4,7.87823439878234,1980-08-01
1980,9,10063.2222222222,7.57990867579909,1980-09-01
1980,10,7671.72549019608,7.18788611334945,1980-10-01
1980,11,2541.11111111111,6.81722475900558,1980-11-01
1980,12,94.6333333333333,6.42123287671233,1980-12-01
1981,1,56.0714285714286,6.11529680365297,1981-01-01
1981,6,7.5,5.68607305936073,1981-06-01
1981,7,2.33333333333333,5.63546423135464,1981-07-01
1981,8,3,5.41038812785388,1981-08-01
1981,9,801.461538461538,4.98717948717949,1981-09-01
1981,10,941.295698924731,4.53667697746354,1981-10-01
1981,11,769.3125,4.17979452054795,1981-11-01
1981,12,81.2,5.79411764705882,1981-12-01
1982,1,12.75,9.32352941176471,1982-01-01
1982,9,9136,15.3235294117647,1982-09-01
1982,10,7118.63157894737,17.9133126934985,1982-10-01
1982,11,1123.88815789474,20.4891640866873,1982-11-01
1982,12,372.893004115226,24.078431372549,1982-12-01
1983,1,71,27.0588235294118,1983-01-01
1983,5,1860,30.4705882352941,1983-05-01
1983,8,1,31.9411764705882,1983-08-01
1983,9,2126.34615384615,231.880020110608,1983-09-01
1983,10,2904.0119047619,223.61,1983-10-01
1983,11,276.863636363636,62.4229583975347,1983-11-01
1983,12,893.642857142857,11.9915254237288,1983-12-01
1984,1,20.75,9.19491525423729,1984-01-01
1984,7,1.35294117647059,5.22033898305085,1984-07-01
1984,8,9.89839572192513,3.28248587570621,1984-08-01
1984,9,4412.95402298851,0.838690824079486,1984-09-01
1984,10,5926.96875,0,1984-10-01
1984,11,4134.08,0,1984-11-01
1984,12,987,0,1984-12-01
1985,1,29,0,1985-01-01
1985,8,11.2083333333333,0,1985-08-01
1985,9,2569.23333333333,0.352112676056338,1985-09-01
1985,10,3979.35092592593,3.44483568075117,1985-10-01
1985,11,269.6,9.27464788732394,1985-11-01
1985,12,297.913043478261,14.3490661359461,1985-12-01
1986,1,6,12.95,1986-01-01
1986,2,0,11.175,1986-02-01
1986,7,1,8.325,1986-07-01
1986,8,9.05882352941176,6.43761609907121,1986-08-01
1986,9,1577.63333333333,6.13075657894737,1986-09-01
1986,10,4894.25806451613,7.09116252127005,1986-10-01
1986,11,1323.88888888889,8.36625514403292,1986-11-01
1986,12,81.1739130434783,7.52388620504563,1986-12-01
1987,1,30.3333333333333,7.07407407407407,1987-01-01
1987,8,2.15277777777778,2.27602880658436,1987-08-01
1987,9,561.565217391304,0.668357487922705,1987-09-01
1987,10,3196.93137254902,0.184313725490196,1987-10-01
1987,11,3854.61764705882,0.467320261437909,1987-11-01
1987,12,1228.8125,0.813888888888889,1987-12-01
1988,1,336.461538461538,1.12393162393162,1988-01-01
1988,2,1,1.35555555555556,1988-02-01
1988,8,12.5652173913043,1.78937198067633,1988-08-01
1988,9,4569.81547619048,1.96481481481481,1988-09-01
1988,10,7592.42424242424,2,1988-10-01
1988,11,301.727272727273,2,1988-11-01
1988,12,208.222222222222,2,1988-12-01
1989,1,7.16666666666667,2,1989-01-01
1989,8,3.62012987012987,2.0625,1989-08-01
1989,9,199.618238993711,1.99770889487871,1989-09-01
1989,10,2804.36296296296,0.466666666666667,1989-10-01
1989,11,3107.21428571429,0,1989-11-01
1989,12,81.3684210526316,0,1989-12-01
1990,1,7.5,0,1990-01-01
1990,8,1.47058823529412,0,1990-08-01
1990,9,855.414814814815,0.00252525252525253,1990-09-01
1990,10,1283.975,0.223011363636364,1990-10-01
1990,11,29.5588235294118,0.495989304812834,1990-11-01
1990,12,2.5829604130809,0.815909090909091,1990-12-01
1991,8,3.58868808567604,1.80587121212121,1991-08-01
1991,9,145.462585034014,2.8018192125335,1991-09-01
1991,10,724.513157894737,4,1991-10-01
1991,11,636.34375,4,1991-11-01
1991,12,80.1964285714286,4,1991-12-01
1992,1,49.9354838709677,4,1992-01-01
1992,2,9.91666666666667,4,1992-02-01
1992,8,1.2037037037037,4,1992-08-01
1992,9,1205.47619047619,4,1992-09-01
1992,10,2976.2619047619,3.64285714285714,1992-10-01
1992,11,837.067203219316,3,1992-11-01
1992,12,199.538461538462,3,1992-12-01
1993,1,50.96,3,1993-01-01
1993,2,13.1666666666667,3,1993-02-01
1993,8,3.77083333333333,3.45454545454545,1993-08-01
1993,9,218.695945945946,5.72481572481573,1993-09-01
