"Year","Month","MeanLive","MeanRedd","Date"
1973,9,31.2358652900688,23.6544458491361,"1973-09-01"
1973,10,56.3243293418732,78.1793372319688,"1973-10-01"
1973,11,80.3858695652174,150.450310559006,"1973-11-01"
1973,12,0.96,0.875,"1973-12-01"
1974,7,4.28571428571429,0.75,"1974-07-01"
1974,8,15.4051724137931,5.58405172413793,"1974-08-01"
1974,9,24.4314363143631,11.1283367208672,"1974-09-01"
1974,10,80.7584994462902,49.7879726309128,"1974-10-01"
1974,11,35.2703488372093,92.8115492218919,"1974-11-01"
1974,12,523.333333333333,5.02127659574468,"1974-12-01"
1975,1,1453.90740740741,10.6595744680851,"1975-01-01"
1975,5,176.888888888889,17.2127659574468,"1975-05-01"
1975,7,118.842592592593,17.5106382978723,"1975-07-01"
1975,8,13.7993165784832,10.3743329956096,"1975-08-01"
1975,9,73.7082334869432,48.9626344086022,"1975-09-01"
1975,10,67.530223880597,99.2823383084576,"1975-10-01"
1975,11,99.8323717948718,680.698450854701,"1975-11-01"
1975,12,0,125.988888888889,"1975-12-01"
1976,2,0,1.13793103448276,"1976-02-01"
1976,8,19.5831632653061,10.5918367346939,"1976-08-01"
1976,9,32.9430423742924,32.6569444444445,"1976-09-01"
1976,10,33.2627704608293,61.1589952477937,"1976-10-01"
1976,11,9.25677800346047,20.4796095689461,"1976-11-01"
1976,12,2.64,25.1382857142857,"1976-12-01"
1977,1,4,0,"1977-01-01"
1977,2,1.25,2.5,"1977-02-01"
1977,7,7.83333333333333,0.283333333333333,"1977-07-01"
1977,8,8.16013071895425,2.47254901960784,"1977-08-01"
1977,9,28.0526792750197,28.4153368794326,"1977-09-01"
1977,10,44.7000434971727,76.5662280701754,"1977-10-01"
1977,11,15.2986111111111,73.2618861607143,"1977-11-01"
1977,12,0.0714285714285715,0.892857142857143,"1977-12-01"
1978,1,0.5,2.75,"1978-01-01"
1978,6,11.4,4.425,"1978-06-01"
1978,7,3.96666666666667,4.79166666666667,"1978-07-01"
1978,8,12.6961666666667,6.45,"1978-08-01"
1978,9,111.63676027676,37.7305006105006,"1978-09-01"
1978,10,64.9898991336242,26.786620185923,"1978-10-01"
1978,11,28.9393939393939,110.232239057239,"1978-11-01"
1978,12,1.07142857142857,0,"1978-12-01"
1979,1,3.57142857142857,0,"1979-01-01"
1979,6,1.36363636363636,5.49586776859504,"1979-06-01"
1979,7,16.1228070175439,8.13131313131313,"1979-07-01"
1979,8,14.4137916666667,7.76484848484849,"1979-08-01"
1979,9,15.8669541072738,18.7171786492375,"1979-09-01"
1979,10,29.7145996280537,24.5059038337636,"1979-10-01"
1979,11,31.4822686798297,126.084498123827,"1979-11-01"
1979,12,0.905982905982906,98.497975708502,"1979-12-01"
1980,1,0,1.32456140350877,"1980-01-01"
1980,6,1.94444444444444,1.10526315789474,"1980-06-01"
1980,7,6.96759259259259,5.98830409356725,"1980-07-01"
1980,8,16.9713934713935,9.65402902902903,"1980-08-01"
1980,9,16.6693748789839,10.2513072344322,"1980-09-01"
1980,10,34.3080445477416,25.3771871348485,"1980-10-01"
1980,11,50.4839898989899,21.189,"1980-11-01"
1980,12,3.96168582375479,10.9217296113848,"1980-12-01"
1981,1,1.2,1.34285714285714,"1981-01-01"
1981,3,0.0769230769230769,4.79166666666667,"1981-03-01"
1981,6,1,4.16666666666667,"1981-06-01"
1981,7,12.1388888888889,6.43672839506173,"1981-07-01"
1981,8,20.1939024390244,30.0198170731707,"1981-08-01"
1981,9,25.252404914905,11.9333788675894,"1981-09-01"
1981,10,21.1527409037673,22.2294272929918,"1981-10-01"
1981,11,19.602637077023,22.1318559218559,"1981-11-01"
1981,12,0.842105263157895,17.5,"1981-12-01"
1982,7,4.20243902439024,12.3666666666667,"1982-07-01"
1982,8,9.58514724711908,10.3004694835681,"1982-08-01"
1982,9,27.1940187342064,11.9720967961777,"1982-09-01"
1982,10,109.135465141363,20.7256808116181,"1982-10-01"
1982,11,29.438840444306,50.2693046719363,"1982-11-01"
1982,12,2.875,9.14863834422658,"1982-12-01"
1983,5,197,2.45098039215686,"1983-05-01"
1983,7,1.42857142857143,2.71904761904762,"1983-07-01"
1983,8,16.4746913580247,18.4161728395062,"1983-08-01"
1983,9,26.9686628595362,18.0933705709772,"1983-09-01"
1983,10,17.6010338700331,19.3104591061113,"1983-10-01"
1983,11,22.5857595273579,33.0078324225865,"1983-11-01"
1983,12,8.15158371040724,50.4237616099071,"1983-12-01"
1984,4,5,0.894736842105263,"1984-04-01"
1984,5,11,0.912280701754386,"1984-05-01"
1984,6,29,0.93859649122807,"1984-06-01"
1984,7,10.5119047619048,1.79090583601862,"1984-07-01"
1984,8,17.2509578544061,5.35101258894362,"1984-08-01"
1984,9,21.9499446373209,15.6254286600821,"1984-09-01"
1984,10,26.4346620680122,20.2661027257766,"1984-10-01"
1984,11,41.9267671130952,42.9256101190476,"1984-11-01"
1984,12,0.435227854582693,1.39803017981386,"1984-12-01"
1985,1,0,3.44117647058824,"1985-01-01"
1985,2,3.63636363636364,1.125,"1985-02-01"
1985,4,5.0275974025974,2.22470238095238,"1985-04-01"
1985,5,30,2.04166666666667,"1985-05-01"
1985,6,114,1.83333333333333,"1985-06-01"
1985,7,13.9333333333333,1.96111111111111,"1985-07-01"
1985,8,17.8830355785725,16.0165227021041,"1985-08-01"
1985,9,41.770130250197,13.3926973928556,"1985-09-01"
1985,10,32.4722226743258,11.149891479359,"1985-10-01"
1985,11,13.2786036601035,15.6379948617363,"1985-11-01"
1985,12,1.6750357330926,6.05745881290905,"1985-12-01"
1986,1,0.0333333333333333,0.555171221030785,"1986-01-01"
1986,2,0,1.56779661016949,"1986-02-01"
1986,3,0,2.58474576271186,"1986-03-01"
1986,4,22,2.78813559322034,"1986-04-01"
1986,5,23,2.83898305084746,"1986-05-01"
1986,6,51.2,2.98135593220339,"1986-06-01"
1986,7,11.8123655913979,5.14784946236559,"1986-07-01"
1986,8,12.6492296640768,14.2592865649634,"1986-08-01"
1986,9,14.1695086177439,10.4427517604264,"1986-09-01"
1986,10,26.2486219418186,17.1839604580348,"1986-10-01"
1986,11,23.5438425345034,25.5459301469065,"1986-11-01"
1986,12,2.4995774399156,6.99844403024959,"1986-12-01"
1987,1,0,1.89230769230769,"1987-01-01"
1987,4,7,2.653125,"1987-04-01"
1987,5,16.8333333333333,2.728125,"1987-05-01"
1987,6,17.6,2.83125,"1987-06-01"
1987,7,13.343137254902,4.66936274509804,"1987-07-01"
1987,8,12.9957621761521,8.14487767584098,"1987-08-01"
1987,9,39.0381386010692,8.98621133971603,"1987-09-01"
1987,10,44.3326007163477,31.2034492413743,"1987-10-01"
1987,11,28.0794209601832,24.2855701065836,"1987-11-01"
1987,12,1.15512161699212,16.2191580069278,"1987-12-01"
1988,1,0,0.790123456790123,"1988-01-01"
1988,6,50,0,"1988-06-01"
1988,7,9.41428571428571,5.02380952380952,"1988-07-01"
1988,8,16.3976897689769,17.1723672367237,"1988-08-01"
1988,9,98.6502249802485,46.9353216955044,"1988-09-01"
1988,10,36.2835193427222,37.6527818138718,"1988-10-01"
1988,11,20.8645847283055,24.5495374070374,"1988-11-01"
1988,12,2.1684448790381,5.99741027493556,"1988-12-01"
1989,1,0,0.770161290322581,"1989-01-01"
1989,2,0,0.419354838709677,"1989-02-01"
1989,7,18.0769230769231,3.64404466501241,"1989-07-01"
1989,8,151.995007215007,10.1130663780664,"1989-08-01"
1989,9,79.6924807451523,39.0485333673378,"1989-09-01"
1989,10,48.9104210941889,63.9612089816306,"1989-10-01"
1989,11,48.589357782067,36.5555911229763,"1989-11-01"
1989,12,0.0352941176470588,0.347141209424947,"1989-12-01"
1990,1,0,0.705882352941177,"1990-01-01"
1990,7,56.7166666666667,2.78516339869281,"1990-07-01"
1990,8,52.5643910913648,9.20131578947368,"1990-08-01"
1990,9,37.2651255050192,19.0796556129908,"1990-09-01"
1990,10,29.9615464474445,26.1120276958347,"1990-10-01"
1990,11,27.0927192839077,29.8769328991601,"1990-11-01"
1990,12,0.140127388535032,1.14703725149585,"1990-12-01"
1991,1,0.0476190476190476,0.815584415584416,"1991-01-01"
1991,2,0,0.333333333333333,"1991-02-01"
1991,6,3.33333333333333,0.145454545454546,"1991-06-01"
1991,7,9.26086956521739,2.77193675889328,"1991-07-01"
1991,8,13.0042579075426,7.58683919486839,"1991-08-01"
